Domicile_code	AU2017_code	AU2017_name	Dom_average_NZDep2023	Dom_average_NZDep2023_score
239	509100	Greenhithe	1	905
240	509300	Narrow Neck	2	921
241	509400	Mt Victoria	1	909
242	509500	Stanley Bay	1	888
243	509701	Ocean View	5	969
244	509702	Tuff Crater	6	987
245	509800	Northcote South	2	922
246	510010	Beachhaven North	5	984
247	510020	Beachhaven South	4	966
248	510210	Birkdale North	6	1002
249	510220	Birkdale South	4	963
250	510401	Kauri Park	2	924
251	510402	Chelsea	2	921
252	510500	Birkenhead East	2	919
253	510700	Henderson North	9	1063
254	510800	Henderson South	9	1101
255	511001	Tangutu	7	1019
256	511002	Woodglen	7	1009
257	511100	Glen Eden East	8	1051
316	511301	New Lynn North	9	1067
317	511302	New Lynn South	8	1057
318	511303	Lynnmall	8	1037
259	511401	Fruitvale	8	1052
260	511402	Rewarewa	7	1027
261	511601	Glendene North	8	1036
262	511602	Glendene South	8	1058
263	511700	Kelston Central	9	1089
264	511800	Sunnyvale	7	1028
265	511901	Kaurilands	2	934
266	511902	Crum Park	3	939
267	512000	Titirangi South	1	913
268	512100	Green Bay	5	970
269	512201	Matipo	7	1014
270	512202	Durham Green	6	997
271	512300	Te Atatu Central	6	990
272	512401	Edmonton	8	1048
273	512402	Wakeling	7	1009
274	512500	Mcleod	7	1022
275	512600	Konini	3	941
276	512700	Waima	1	908
277	512801	Laingholm	1	909
278	512802	Armour Bay	2	926
280	512902	Otimai	1	913
332	512903	Parrs Park West	9	1077
333	512904	Parrs Park	9	1090
334	512905	Oratia West	5	986
335	512906	Oratia	8	1050
319	513011	Henderson West	5	977
320	513012	Palm Heights	6	991
321	513013	McLaren Park	9	1079
282	513020	Opanuku	4	953
336	513101	Swanson	5	969
337	513102	Swanson South	2	929
322	513211	Urlich	10	1132
323	513212	Starling Park	9	1093
324	513213	Ranui Domain	10	1132
325	513214	Ranui South	8	1046
285	513220	Sturges North	5	974
286	513301	Kingdale	9	1096
287	513302	Fairdene	9	1086
302	513410	Whenuapai West	2	933
289	513420	Herald	2	917
338	513431	Hobsonville East	1	905
339	513432	Hobsonville South	2	935
308	513511	Westgate	6	1000
309	513512	Royal Road West	8	1054
292	513521	West Harbour	9	1086
293	513522	Lucken Point	3	941
294	513530	Royal Heights	8	1052
295	513610	Massey West	6	1005
340	513621	Birdwood West	4	962
341	513622	Birdwood East	7	1024
297	513631	Waimumu North	9	1069
298	513632	Waimumu South	9	1068
299	513701	Taupaki	5	978
400	513702	Waitakere	3	943
401	513800	Karekare	4	965
402	514000	Freemans Bay	5	980
504	514101	Auckland Harbourside	6	997
505	514102	Auckland Central West	8	1045
506	514103	Auckland Central East	8	1052
404	514200	Newton	6	987
507	514301	Grafton West	8	1038
508	514302	Grafton East	6	994
406	514401	Roberton	7	1013
407	514402	Glenavon	9	1088
408	514500	New Windsor	7	1007
409	514600	Avondale South	6	1006
410	514700	Blockhouse Bay	5	973
411	514801	Rosebank	9	1066
412	514802	Avondale West	9	1075
413	514900	Waterview	9	1078
414	515001	Point Chevalier West	3	952
415	515002	Point Chevalier East	3	942
416	515003	Point Chevalier South	8	1050
417	515100	Westmere	2	925
418	515201	Herne Bay	1	910
419	515202	St Marys	2	919
420	515301	Ponsonby West	3	945
421	515302	Ponsonby East	2	934
422	515410	Grey Lynn West	2	934
423	515420	Grey Lynn East	3	940
500	515431	Surrey Crescent	7	1009
501	515432	St Lukes North	3	946
425	515500	Arch Hill	5	972
502	515600	Eden Terrace	4	962
427	515700	Epsom North	5	984
428	515801	Epsom Central	5	974
429	515802	Epsom South	3	944
430	515901	Parnell East	2	934
431	515902	Parnell West	4	962
432	516001	Mt Hobson	4	961
433	516002	Remuera South	4	956
434	516003	Abbotts Park	3	945
435	516101	Remuera West	2	925
436	516102	Waitaramoa	2	920
437	516201	Orakei South	1	904
438	516202	Waiata	1	905
439	516301	Meadowbank North	2	922
440	516302	Meadowbank South	2	925
441	516400	Orakei North	6	996
442	516500	Mission Bay	2	931
443	516601	Kohimarama West	1	901
444	516602	Kohimarama East	1	895
445	516700	St Heliers	1	904
446	516800	Glendowie	1	893
447	516900	Glen Innes North	2	925
448	517001	Glen Innes West	10	1119
449	517002	Glen Innes East	9	1075
450	517100	Point England	10	1238
511	517201	St Johns	6	999
512	517202	Stonefields	1	899
452	517400	Newmarket	7	1012
453	517500	Kingsland	4	960
454	517600	St Lukes	5	986
455	517701	Sandringham North	5	968
456	517702	Sandringham West	6	1003
457	517703	Sandringham East	7	1014
458	517800	Mt Albert Central	4	964
459	517901	Springleigh	6	999
460	517902	Owairaka West	8	1036
461	517903	Owairaka East	5	976
503	518101	Mt Eden North	6	1000
463	518102	Sherbourne	5	974
464	518201	Balmoral	3	949
465	518202	Mt Eden East	3	951
466	518301	Maungawhau	3	938
467	518302	Mt Eden South	3	953
468	518500	Three Kings	8	1050
469	518600	Royal Oak	3	947
470	518701	Hillsborough West	5	972
471	518702	Hillsborough East	4	961
472	518801	Walmsley	10	1176
473	518802	Wesley	10	1129
474	518803	Akarana	9	1112
475	518901	Lynfield North	6	999
476	518902	Lynfield South	4	964
477	519001	Waikowhai West	4	956
478	519002	Waikowhai East	8	1054
479	519200	Mt St John	5	978
480	519300	One Tree Hill Central	4	958
481	519400	One Tree Hill East	5	975
482	519500	Penrose	6	1000
483	519710	Onehunga North West	7	1028
484	519720	Onehunga North East	5	980
485	519810	Onehunga South West	5	975
486	519820	Onehunga South East	7	1022
487	519900	Oranga	9	1091
488	520000	Te Papapa	6	998
489	520201	Ellerslie North	2	931
490	520202	Ellerslie South	3	949
513	520301	Mt Wellington Domain	7	1023
514	520302	Mt Wellington West	5	981
515	520303	Mt Wellington North	8	1061
492	520401	Ferndale	7	1018
493	520402	Hamlin	8	1036
494	520500	Mt Wellington South	9	1105
495	520601	Tamaki	10	1159
496	520602	Panmure Basin	5	985
497	520801	Waiheke Island	5	971
499	520900	Islands-Motutapu Rangitoto Rakin	4	966
600	521000	Great Barrier Island	9	1088
601	521111	Paerata-Cape Hill	5	978
602	521112	Eden Road-Hill Top	5	970
604	521114	Redoubt	5	982
605	521115	Opuawhanga	7	1027
732	521116	Buckland	3	937
733	521117	Buckland South	4	954
606	521121	Patumahoe	2	932
607	521122	Kingseat	3	945
608	521131	Pokeno	2	928
609	521132	Hunua	2	926
734	521134	Paparata	4	956
735	521135	Mangatawhiri	5	974
736	521136	Kaiaua	8	1050
611	521151	Awhitu	7	1017
612	521152	Glenbrook	4	957
613	521153	Otaua	3	949
614	521160	Bombay	3	938
615	521201	Hingaia	2	922
616	521202	Whangapouri Creek	3	940
617	521203	Bremner	5	985
618	521301	Drury	5	982
619	521302	Runciman	4	959
620	521501	Mellons Bay	1	906
700	521502	Cockle Bay	1	897
622	521601	Howick West	5	978
623	521602	Howick Central	4	959
718	521801	Otahuhu North	10	1203
719	521802	Fairburn	10	1142
720	521803	Otahuhu East	9	1087
625	521901	Otahuhu West	10	1194
627	522100	Papatoetoe West	9	1107
628	522201	Papatoetoe North	9	1085
629	522202	Papatoetoe Central	9	1063
630	522301	Dingwall	8	1055
631	522302	Papatoetoe East	9	1105
632	522400	Puhinui North	8	1054
633	522601	Bucklands and Eastern Beaches	3	937
635	522603	Bleakhouse	1	912
721	522604	Bucklands Beach South	4	957
636	522711	Pigeon Mountain North	6	1001
637	522712	Murvale	5	972
638	522721	Pigeon Mountain South	5	971
639	522722	Highland Park	5	986
640	522723	Elsmore Park	7	1014
641	522730	Half Moon Bay	3	935
642	522810	Pakuranga North	3	945
643	522820	Sunnyhills	3	943
644	522910	Pakuranga Central	7	1020
645	522920	Edgewater	8	1032
646	523000	Pakuranga East	7	1008
647	523101	Howick South	3	953
701	523102	Meadowland	2	927
702	523105	Golfland	3	946
703	523106	Millhouse	2	929
704	523107	Burswood	4	963
706	523109	Dannemora	4	955
707	523110	Kilkenny	2	928
737	523112	Highbrook	8	1033
738	523113	Greenmount	5	971
739	523114	Point View	3	939
740	523115	Baverstock Oaks	4	963
741	523116	Mission Heights	2	933
651	523201	Shelly Park	1	902
652	523202	Turanga	1	912
653	523300	Beachlands-Maraetai	1	901
655	523402	Otara West	10	1278
742	523403	Wymondley	10	1298
743	523404	Grange	8	1049
656	523501	Otara North	10	1247
657	523502	Otara East	10	1271
658	523601	Otara South	10	1250
659	523602	Ferguson	10	1265
711	523711	Rongomai	10	1236
712	523712	Donegal Park	6	993
709	523713	Ormiston	3	950
661	523721	Clover Park	10	1174
662	523722	Redoubt North	9	1077
665	523813	Ardmore	4	959
713	523814	Totara Heights	5	970
714	523816	Randwick Park	9	1115
715	523817	Hyperion	10	1183
744	523818	Redoubt East	2	927
745	523819	Mill Road	2	923
666	523820	Redoubt South	6	999
716	523911	Takanini North	9	1114
717	523912	Takanini South	7	1008
668	523920	Takanini West	6	1004
669	524001	Ambury	5	985
670	524002	Mangere Bridge	8	1053
671	524111	Mangere Central	10	1190
672	524112	Mascot	10	1203
673	524121	Arahanga	10	1178
674	524122	Viscount	10	1239
675	524200	Mangere South	10	1121
676	524301	Mangere East	9	1112
677	524302	Aorere	10	1124
678	524303	Kohuora	9	1098
680	524402	Mangere Station	10	1405
723	524403	Favona West	10	1181
724	524404	Favona North	10	1155
725	524405	Favona South	10	1118
681	524510	Harania North	10	1246
682	524520	Harania West	10	1188
683	524530	Harania East	10	1188
685	524602	Wiri	10	1201
746	524603	Puhinui South	9	1075
747	524604	Manukau Central	10	1119
686	524711	Burbank	10	1247
687	524712	Homai West	10	1209
688	524713	Rowandale	10	1225
689	524720	Homai East	10	1155
726	524811	Weymouth West	10	1136
727	524812	Weymouth East	10	1130
728	524821	Clendon North	10	1219
729	524822	Clendon South	10	1192
692	524901	Hillpark	7	1024
693	524902	Manurewa East	10	1164
694	525001	Manurewa Central	10	1133
695	525002	Beaumont	10	1195
696	525101	Leabank	10	1172
697	525102	Wattle Farm	8	1041
730	525201	Clevedon	3	937
731	525202	Kawakawa-Orere	6	991
699	525410	Papakura Central	10	1146
800	525420	Papakura North	9	1081
801	525510	Papakura South	10	1243
802	525520	Opaheke	7	1025
803	525530	Rosehill	9	1112
804	525540	Pahurehure	6	988
805	525610	Papakura East	10	1191
806	525620	Massey Park	9	1108
807	525630	Papakura North East	9	1109
808	525700	Red Hill	10	1155
809	525910	Pukekohe North	8	1057
810	525921	Pukekohe West	6	995
811	525922	Bledisloe Park	6	998
910	526103	Waiuku West	7	1011
911	526104	Waiuku East	7	1008
912	526105	South Waiuku	4	962
913	526106	Pukeoware	3	943
814	526200	Tuakau	8	1037
816	526500	Raglan	6	999
817	526601	Waikato Western Hills	5	982
818	526602	Te Uku	4	959
819	526603	Te Pahu	2	927
820	526701	Onewhero	6	1001
821	526702	Te Akau	7	1016
822	526900	Te Kauwhata	6	987
825	527004	Matangi	1	903
903	527005	Sylvester	1	903
904	527006	Flagstaff	3	941
900	527007	Horsham Downs	3	950
901	527008	Rototuna	3	942
902	527009	Huntington	2	935
826	527111	Whitikahu	5	971
827	527112	Taupiri Community	7	1016
829	527122	Gordonton	4	963
830	527123	Kainui	3	951
914	527124	Newstead	1	912
915	527125	Eureka	3	938
831	527131	Tamahere-Tauwhare	1	905
916	527133	Hautapu	1	912
917	527134	Swayne	1	893
833	527210	Waerenga	7	1010
834	527221	Maramarua	5	985
835	527222	Meremere	9	1091
836	527401	Huntly West	10	1228
837	527402	Huntly East	9	1089
838	527501	Cambridge North	4	965
839	527502	Cambridge West	4	961
840	527503	Cambridge Central	5	969
841	527504	Leamington West	4	960
842	527505	Leamington East	4	955
843	527600	Ohaupo	2	919
844	527700	Kihikihi	6	1003
845	527810	Peacocke	3	941
846	527820	Temple View	6	998
848	527912	Te Kowhai	2	917
849	527913	Whatawhata	3	944
850	527914	Ngahinapouri	2	918
851	527915	Lake Cameron	2	920
918	527916	Horotiu	5	970
919	527917	Te Rapa North	7	1021
852	527921	Te Rore	2	934
853	527922	Pirongia	2	921
854	527923	Pokuru	4	965
855	527924	Lake Ngaroto	4	953
856	527925	Tokanui	10	1133
857	527931	Pukerimu	1	899
858	527932	Kaipaki	3	936
859	527934	Rotoorangi	3	944
860	527935	Te Rahu	1	911
861	527936	Kihikihi Flat	2	923
862	527937	Allen Road	4	963
863	528000	Rotongata	7	1020
864	528200	Ngaruawahia	9	1074
865	528310	Bryant	7	1018
866	528320	Pukete	5	972
867	528402	Pukete West	6	1007
868	528403	Te Rapa	9	1064
905	528405	Burbush	7	1021
906	528406	Rotokauri	2	921
870	528501	Nawton	8	1041
907	528503	Crawshaw	10	1153
908	528504	Grandview	9	1086
909	528505	Brymer	5	982
872	528601	Dinsdale North	6	988
873	528602	Dinsdale South	8	1037
874	528700	Beerescourt	7	1013
875	528800	Maeroa	8	1056
876	528900	Frankton Junction	8	1045
877	529000	Swarbrick	9	1104
878	529100	Hamilton Lake	7	1026
879	529200	Melville	9	1083
880	529300	Glenview	6	999
881	529401	Queenwood	6	997
882	529402	Chedworth	8	1046
883	529501	Porritt	10	1133
884	529502	Insoll	10	1203
885	529503	Fairview Downs	8	1042
886	529600	Chartwell	4	961
887	529700	Hamilton Central	9	1101
888	529800	Clarkin	10	1132
889	529900	Claudelands	8	1057
890	530000	Enderley	10	1129
891	530100	Peachgrove	9	1072
892	530200	Hamilton East	9	1075
893	530300	Naylor	7	1030
894	530400	Bader	9	1117
895	530500	University	9	1083
896	530600	Silverdale	8	1045
897	530700	Hillcrest West	8	1034
898	530800	Riverlea	5	979
899	531001	Te Awamutu West	6	1002
1000	531002	Te Awamutu Central	7	1021
1001	531003	Te Awamutu East	6	1007
1002	531004	Te Awamutu South	7	1016
1003	531100	Kawhia Community	10	1174
1004	531200	Otorohanga	9	1076
1005	531301	Otorohanga Rural West	7	1018
1100	531303	Te Kawa	5	977
1101	531304	Otorohanga Rural East	6	1004
1007	531500	Piopio	8	1061
1008	531600	Taharoa	9	1113
1009	531710	Mahoenui	8	1033
1010	531720	Marokopa	6	995
1011	531731	Waipa Valley	6	1007
1012	531732	Tiroa	10	1156
1013	531800	Mokauiti	8	1061
1014	532000	Te Kuiti	10	1149
1015	532200	Omori	4	957
1016	532300	Owhango	6	995
1017	532400	Ohura	10	1137
1018	532501	Ngapuke	8	1040
1019	532502	Kuratau	8	1054
1020	532601	Raurimu	6	988
1021	532602	National Park	9	1067
1022	532700	Otangiwai-Heao	8	1045
1023	532901	Tarrangower	10	1158
1024	532902	Taumarunui Central	10	1197
1025	532903	Sunshine-Hospital Hill	10	1126
1026	532904	Manunui	9	1100
1027	533000	Whitianga	6	997
1028	533100	Coromandel	8	1043
1029	533200	Te Rerenga	6	1002
1030	533300	Whangamata	5	973
1031	533400	Tairua	6	995
1032	533501	Moanataiari	9	1066
1033	533502	Parawai	8	1059
1034	533602	Pauanui Beach	3	940
1035	533603	Hikuai	5	986
1036	533604	Te Puru-Thornton Bay	7	1019
1037	533800	Ngatea	6	991
1038	533901	Hauraki Plains	7	1022
1039	533902	Turua	7	1013
1040	533903	Kerepehi	9	1116
1041	534100	Waihi Beach	5	969
1102	534200	Ohinemuri	7	1019
1043	534300	Paeroa	9	1077
1103	534400	Waihi	9	1085
1104	534500	Tahuroa	4	965
1047	534602	Waitoa	7	1031
1121	534603	Springdale	6	1007
1122	534604	Waihou-Walton	6	999
1106	534800	Te Aroha	8	1041
1119	534901	Morrinsville West	8	1045
1120	534902	Morrinsville East	4	967
1050	535000	Waharoa	10	1182
1051	535100	Tirau	8	1043
1052	535211	Mangakaretu	9	1087
1053	535212	Kinleith	5	975
1054	535220	Okauia	5	970
1055	535231	Te Poi	7	1011
1056	535232	Tapapa	5	985
1057	535241	Karapiro	2	921
1058	535242	Hinuera	5	968
1059	535250	Arapuni	5	986
1060	535261	Lichfield	6	997
1061	535262	Wawa	6	1003
1062	535310	Paraonui	9	1075
1063	535320	Parkdale	9	1064
1064	535330	Matarawa	10	1156
1065	535340	Stanley Park	10	1169
1066	535350	Tokoroa Central	10	1208
1067	535360	Aotea	9	1100
1068	535370	Strathmore	10	1166
1069	535380	Amisfield	6	998
1123	535501	Matamata North	7	1021
1124	535502	Matamata South	6	993
1071	535600	Putaruru	9	1107
1072	535700	Athenree	4	966
1073	535800	Katikati Community	7	1025
1074	535900	Maketu Community	9	1101
1075	536000	Omokoroa	3	941
1125	536201	Papamoa Beach East	5	986
1126	536202	Palm Springs	4	959
1127	536203	Doncaster	5	985
1077	536400	Island View-Pios Beach	7	1015
1079	536503	Te Puna	5	971
1081	536505	Matapihi	9	1088
1112	536512	Kairua	10	1163
1113	536513	Bethlehem East	2	917
1114	536514	Bethlehem	3	943
1128	536515	Pacific View	2	927
1129	536516	Palm Beach	5	984
1130	536517	Gravatt	3	944
1084	536611	Matakana Island	10	1171
1115	536614	Tahawai	5	979
1116	536615	Aongatete	5	981
1087	536620	Minden	2	935
1088	536630	Kaimai	3	953
1089	536641	Ohauiti-Ngapeke	4	956
1090	536642	Upper Papamoa	5	984
1091	536651	Paengaroa	8	1049
1117	536653	Rangiuru	8	1049
1118	536654	Pongakawa	6	988
1093	536810	Mt Maunganui North	4	955
1131	536821	Omanu	3	937
1132	536822	Tauranga City-Marinas	10	1125
1095	536831	Arataki	6	1002
1096	536832	Te Maunga	5	978
1097	537000	Matua	3	940
1098	537100	Bellevue	5	980
1099	537201	Otumoetai North	5	975
1200	537202	Otumoetai South	3	949
1201	537301	Brookfield	7	1009
1202	537302	Te Reti	6	993
1203	537400	Judea	8	1053
1204	537500	Gate Pa	8	1061
1319	537601	Greerton	7	1029
1320	537602	Pyes Pa	3	935
1206	537700	Yatton Park	10	1118
1207	537800	Poike	5	980
1208	537900	Hairini	4	963
1209	538000	Maungatapu	5	978
1300	538101	Tauranga Hospital	9	1072
1211	538102	Tauranga South	8	1033
1302	538201	Tauranga Central	7	1024
1303	538202	Sulphur Point	10	1125
1326	538301	Kaitemako	5	971
1327	538302	Welcome Bay West	5	986
1328	538303	Welcome Bay East	4	967
1215	538501	Te Puke West	8	1042
1216	538502	Te Puke East	7	1032
1217	538601	Ngongotaha North	8	1043
1304	538602	Ngongotaha South	7	1030
1305	538721	Poets Corner	6	1002
1306	538722	Ngapuna	10	1146
1307	538731	Owhata South	6	992
1308	538732	Lynmore	2	919
1221	538741	Owhata West	9	1073
1222	538742	Owhata East	9	1063
1321	538811	Hamurana	4	960
1224	538820	Tikitere	7	1027
1225	538831	Kaingaroa Forest	10	1340
1309	538832	Tarawera	3	941
1310	538841	Golden Springs	6	999
1228	538842	Reporoa	9	1091
1229	538850	Ngakuru	5	985
1230	538861	Arahiwi	7	1020
1231	538863	Waiwhero	7	1025
1232	538864	Mamaku	9	1068
1233	539000	Selwyn Heights	9	1108
1234	539100	Western Heights	10	1180
1311	539200	Fairy Springs	9	1088
1236	539310	Pukehangi North	10	1162
1237	539320	Pukehangi South	5	986
1238	539400	Mangakakahi	10	1124
1239	539500	Sunnybrook	6	995
1240	539600	Fordlands	10	1294
1241	539700	Utuhina	8	1035
1242	539800	Pomare	3	948
1243	539900	Hillcrest	8	1056
1244	540000	Springfield	3	941
1245	540100	Kawaha Point	8	1037
1246	540200	Koutu	10	1153
1247	540300	Ohinemutu	9	1108
1248	540410	Kuirau	10	1176
1249	540420	Victoria	10	1173
1250	540510	Glenholme East	7	1029
1251	540520	Glenholme West	10	1158
1252	540600	Fenton	9	1113
1253	540700	Whaka	10	1201
1254	540900	Mangakino	10	1189
1255	541000	Turangi	10	1125
1256	541311	Acacia Bay	1	901
1257	541312	Wairakei-Aratiatia	8	1053
1258	541313	Maunganamu	1	909
1260	541315	Taupo East	8	1058
1261	541316	Wharewaka	1	904
1323	541317	Rangatira Park	2	922
1324	541318	Rangatira	5	985
1325	541319	Lakewood	3	945
1262	541320	Marotiri	6	1005
1330	541333	Kinloch	1	912
1331	541334	Tatua	7	1017
1332	541335	Oruanui	2	932
1264	541342	Rangitaiki	7	1008
1333	541344	Broadlands	6	994
1334	541345	Waitahanui	10	1133
1335	541346	Tongariro	8	1054
1336	541347	Motuoapa	4	964
1337	541348	Tokaanu	10	1166
1266	541501	Rangipo	10	1193
1268	541503	Taharua	8	1046
1269	541710	Nukuhau	6	997
1270	541720	Taupo Central	7	1030
1271	541730	Tauhara	8	1053
1272	541740	Hilltop	5	969
1273	541750	Waipahihi	3	936
1274	541760	Richmond Heights	6	990
1312	541900	Ohope	3	943
1276	542000	Matata	9	1082
1277	542100	Taneatua	10	1221
1278	542200	Edgecumbe	8	1037
1279	542300	Te Teko	10	1243
1280	542410	Whakatane North	8	1046
1281	542421	Coastlands	2	917
1282	542422	Whakatane West	9	1105
1283	542430	Trident	10	1125
1313	542440	Allandale-Mokorua	7	1015
1285	542511	Orini	9	1092
1315	542514	Maraetotara	5	980
1287	542520	Poroporo	9	1074
1288	542530	Otakiri	5	981
1289	542540	Rotoma	9	1077
1290	542550	Matahina-Minginui	10	1179
1291	542561	Waimana	10	1208
1292	542562	Urewera	10	1141
1293	542600	Kawerau	10	1148
1294	542700	Murupara	10	1292
1316	542800	Opotiki	10	1168
1296	542901	Te Kaha	10	1185
1298	542903	Cape Runaway	10	1230
1299	542904	Oponae	10	1240
1318	542906	Waiotahi	8	1052
1400	543301	East Cape	10	1277
1401	543302	Ruatoria	10	1321
1402	543303	Tokomaru Bay	10	1210
1403	543601	Tarndale-Rakauroa	9	1068
1404	543602	Te Karaka	10	1168
1405	543800	Patutahi	9	1093
1406	543901	Makaraka	3	949
1407	543902	Matokitoki	1	911
1408	543903	Wainui	1	904
1409	544001	Wharekaka	5	982
1410	544002	Tiniroto	7	1009
1411	544003	Manutuke	8	1060
1412	544004	Tolaga Bay	10	1205
1413	544200	Mangapapa	9	1086
1414	544300	Te Hapara	9	1101
1415	544400	Gisborne Airport	10	1187
1416	544500	Whataupoko	4	963
1417	544600	Gisborne Central	9	1094
1507	544701	Kaiti North	6	1002
1508	544702	Outer Kaiti	10	1268
1419	544801	Kaiti South	10	1192
1420	544802	Tamarau	10	1165
1421	544900	Riverdale	5	972
1422	545201	Tuai	10	1225
1423	545202	Frasertown	9	1102
1425	545204	Ruakituri-Morere	9	1062
1509	545205	Maungataniwha	10	1133
1426	545301	Raupunga	9	1117
1427	545302	Whakaki	9	1086
1428	545303	Nuhaka	10	1204
1429	545304	Mahia	9	1108
1430	545500	Wairoa	10	1174
1431	545611	Bay View	3	947
1432	545621	Poraiti	1	890
1433	545631	Meeanee	2	934
1434	545632	Awatoto	6	989
1500	545710	Twyford	4	959
1436	545721	Karamu	4	966
1437	545722	Whakatu	8	1046
1438	545730	Clive	3	948
1439	545740	Haumoana	3	951
1501	545750	Brookvale	2	918
1441	545761	Irongate	3	949
1442	545762	Longlands South	5	981
1443	545811	Tangoio	6	988
1444	545812	Eskdale	2	923
1445	545821	Sherenden-Puketapu	2	925
1446	545822	Omahu	10	1119
1447	545831	Waiohiki	7	1028
1448	545832	Pakowhai	7	1016
1449	545841	Maraekakaho	2	916
1450	545842	Bridge Pa	9	1067
1451	545851	Poukawa	3	943
1452	545852	Pakipaki	6	1002
1453	545860	Waimarama	3	953
1454	545911	Tutira	8	1037
1455	545912	Puketitiri	7	1029
1456	545913	Whanawhana	3	940
1457	546100	Westshore	6	998
1458	546200	Ahuriri	7	1015
1459	546300	Onekawa Central	6	996
1460	546400	Onekawa West	5	974
1461	546500	Onekawa South	10	1144
1462	546600	Marewa	9	1102
1463	546700	Maraenui	10	1224
1464	546801	Hospital Hill	4	953
1465	546802	Bluff Hill	3	936
1466	546901	Nelson Park	8	1055
1467	546902	Mclean Park	6	1003
1468	547001	Tamatea North	8	1058
1469	547002	Tamatea South	7	1022
1470	547100	Greenmeadows	4	958
1471	547200	Taradale North	4	954
1472	547300	Taradale South	4	968
1473	547400	Pirimai	7	1017
1474	547600	Mahora	8	1051
1475	547700	St Leonards	9	1065
1502	547800	Frimley	3	936
1477	547900	Raureka	8	1047
1478	548000	Mayfair	8	1061
1479	548100	Parkvale	6	992
1480	548200	Hastings Central	8	1041
1481	548300	Akina	7	1019
1482	548400	Woolwich	10	1157
1483	548500	Camberley	10	1221
1484	548611	Kingsley-Chatham	10	1160
1485	548612	Lochain	10	1158
1486	548620	Flaxmere East	10	1145
1487	548810	Anderson Park	8	1059
1512	548821	Iona	2	919
1513	548822	Havelock Hills	1	882
1514	548831	Te Mata	2	915
1515	548832	Havelock North Central	1	908
1516	548833	Te Mata Hills	1	878
1490	549000	Takapau	9	1076
1491	549100	Waipawa	6	1004
1492	549200	Tikokino	4	964
1493	549400	Otane	6	1001
1504	549500	Waipukurau	7	1020
1495	549601	Porangahau	9	1111
1505	549602	Elsthorpe-Flemington	3	942
1506	549800	Norsewood-Herbertville	5	984
1498	549901	Owahanga	7	1011
1600	550101	Dannevirke West	8	1051
1601	550102	Dannevirke East	9	1096
1602	550200	Papatawa	5	986
1603	550500	Woodville	9	1082
1604	550600	Urenui	6	991
1605	550700	Okoki-Okau	5	983
1606	550800	Oakura	2	918
1607	550901	Bell Block	5	982
1608	550902	Paraite	6	997
1609	551012	Glen Avon	5	968
1610	551013	Bowden	2	930
1611	551014	Mangaoraka	2	922
1612	551021	Carrington	1	894
1613	551022	Highlands Park	1	912
1614	551023	Fernleigh	1	885
1615	551024	Barrett	2	927
1616	551030	Omata	2	935
1617	551111	Lepperton	2	931
1618	551112	Kaitake	2	933
1619	551120	Okato	7	1011
1620	551301	Waitara West	10	1138
1621	551302	Waitara East	9	1072
1622	551400	Moturoa	9	1063
1623	551501	Lynmouth	7	1010
1624	551502	Spotswood	7	1019
1625	551503	Marfell	9	1102
1626	551600	Upper Westown	4	966
1627	551700	Westown	8	1035
1628	551800	New Plymouth Central	8	1045
1629	551900	Kawaroa	7	1013
1630	552001	Mount Bryan	7	1013
1631	552002	Marsland Hill	7	1007
1632	552100	Fitzroy	3	953
1633	552200	Welbourn	7	1026
1634	552300	Merrilands	7	1011
1635	552400	Frankleigh	7	1008
1636	552500	Struan Park	6	987
1637	552701	Egmont Village	2	929
1638	552702	Kaimata	4	958
1639	552800	Inglewood	5	981
1640	552900	Midhirst	6	1006
1641	553001	Whangamomona	10	1119
1642	553002	Douglas	5	973
1643	553003	Toko	5	969
1644	553004	Pembroke	5	973
1645	553101	Stratford West	7	1031
1646	553102	Stratford East	7	1026
1647	553200	Opunake	9	1077
1648	553301	Rahotu	9	1066
1649	553302	Kahui	8	1032
1650	553400	Kaponga	10	1129
1651	553500	Mangatoki-Moeroa	7	1019
1652	553601	Eltham	9	1074
1653	553700	Kapuni	7	1029
1654	553800	Manaia	10	1133
1655	553900	Normanby	9	1072
1700	554010	Hawera North	8	1053
1701	554020	Hawera South	9	1075
1702	554111	Ohawe Beach	5	977
1703	554113	Tawhiti	3	952
1704	554114	Waingongoro	4	965
1705	554115	Hawera West	2	933
1661	554120	Ohangai	5	984
1662	554130	Okaiawa	8	1039
1663	554300	Waitotara	7	1030
1664	554400	Whenuakura	7	1009
1665	554500	Makakaho	6	990
1666	554700	Patea	10	1188
1667	554800	Waverley	10	1136
1668	554900	Tangiwai	7	1025
1669	555000	Ohakune	8	1045
1670	555100	Raetihi	10	1122
1671	555200	Otamatea	1	912
1672	555300	Blueskin	2	917
1673	555400	Maxwell	4	955
1674	555700	Castlecliff North	9	1099
1675	555800	Castlecliff South	10	1128
1676	555900	Mosston	10	1177
1677	556000	Balgownie	10	1232
1678	556100	Tawhero	8	1040
1679	556200	Gonville South	9	1062
1680	556300	Gonville East	10	1119
1681	556400	Gonville West	10	1214
1682	556500	Springvale West	6	1000
1683	556600	Springvale East	5	969
1684	556700	Wanganui Collegiate	8	1033
1685	556800	Laird Park	10	1149
1686	556900	Wanganui Central	10	1142
1687	557000	Spriggens Park	9	1070
1688	557100	Cooks Gardens	8	1060
