Domicile_code	AU2017_code	AU2017_name	Dom_average_NZDep2023	Dom_average_NZDep2023_score
2580	586504	Silverstream	2	928
2559	586603	Mandeville	1	888
2560	586604	Ohoka	1	886
2581	586605	West Eyreton	2	915
2582	586606	Eyrewell	2	924
2478	586801	Ashley Gorge	3	947
2479	586802	Oxford	5	979
2480	586900	Darfield	3	939
2481	587010	Kirwee	1	906
2482	587020	Burnham Military Camp	6	991
2483	587100	Malvern	4	964
2485	587302	Halswell South	2	921
2561	587303	Oaklands West	1	906
2562	587304	Oaklands East	4	956
2486	587400	Hornby North	8	1040
2487	587500	Hornby South	8	1038
2488	587701	Sockburn	7	1030
2489	587702	Wigram	3	951
2490	587811	Yaldhurst	2	925
2491	587812	Broomfield	7	1026
2583	587821	Paparua	9	1082
2584	587822	Templeton	4	962
2493	587830	Islington	7	1012
2495	587842	Halswell West	1	904
2497	587844	Westmorland	1	878
2563	587845	Aidanfield	1	910
2564	587846	Halswell Domain	1	891
2565	587847	Hendersons Basin	1	890
2585	587848	Prebbleton	1	879
2586	587849	Trents-Ladbrooks	1	888
2498	587902	Mcleans Island	6	1001
2499	587903	Kennedys Bush	1	868
2600	587904	West Melton	1	894
2601	587905	Taitapu	1	873
2602	588101	Redwood North	4	965
2603	588102	Redwood South	5	976
2604	588200	Styx Mill	5	982
2605	588300	Casebrook	9	1064
2707	588401	Belfast South	1	902
2708	588402	Sawyers Arms	2	930
2607	588500	Bishopdale North	5	970
2608	588600	Harewood	4	967
2609	588700	Bishopdale	6	997
2610	588800	Russley	4	957
2611	588900	Burnside	5	973
2612	589000	Wairarapa	6	1007
2613	589100	Jellie Park	9	1111
2614	589200	Bryndwr	2	923
2615	589300	Holmwood	1	897
2616	589400	Fendalton	5	970
2617	589500	Deans Bush	2	917
2618	589601	Hawthornden	2	934
2619	589602	Merrin	5	969
2620	589700	Westburn	5	976
2621	589800	Avonhead West	4	964
2622	589900	Avonhead	5	968
2623	590000	Ilam	6	994
2624	590100	Upper Riccarton	8	1053
2625	590200	Wharenui	9	1076
2626	590300	Middleton	6	1006
2627	590400	Belfast	5	974
2709	590501	Travis Wetland	2	917
2717	590504	Mairehau North	2	925
2718	590505	Westhaven	2	932
2719	590506	Highfield Park	3	947
2720	590507	Prestons	1	891
2630	590602	Parklands	6	989
2711	590603	Waimairi Beach	3	935
2712	590604	Styx	4	965
2713	590701	Mona Vale	4	958
2714	590702	Riccarton West	9	1104
2632	590800	Riccarton	8	1040
2633	590900	Riccarton South	8	1042
2634	591101	Cashmere West	1	891
2635	591102	Cashmere East	1	891
2636	591200	Rapaki Track	1	903
2637	591300	Heathcote Valley	3	937
2638	591500	Cathedral Square	4	963
2639	591600	Hagley Park	5	975
2640	591700	Avon Loop	7	1013
2641	591800	Northcote	8	1055
2642	591900	Papanui	5	969
2643	592000	Aorangi	5	975
2644	592100	Strowan	2	928
2645	592200	Merivale	4	959
2646	592300	Rutland	2	931
2647	592401	St Albans West	5	981
2648	592402	St Albans East	7	1008
2649	592500	Mairehau	4	962
2650	592600	Edgeware	7	1011
2651	592701	Shirley West	9	1070
2652	592702	Shirley East	8	1056
2653	592811	Burwood	7	1007
2654	592812	Dallington	8	1036
2655	592820	Travis	6	1002
2656	592900	Avondale	7	1010
2657	593000	Wainoni	9	1072
2658	593100	Aranui	10	1195
2659	593200	Richmond North	7	1008
2660	593300	Richmond South	9	1096
2661	593400	Avonside	10	1156
2662	593501	Linwood	9	1087
2663	593502	Phillipstown	9	1100
2664	593600	Linwood North	9	1069
2665	593700	Linwood East	9	1103
2666	593800	Bexley	9	1115
2667	593900	Bromley	9	1071
2668	594010	Woolston West	9	1064
2669	594020	Ferrymead	7	1026
2670	594100	Woolston South	9	1064
2671	594200	Ensors	8	1050
2672	594300	Opawa	4	964
2673	594400	St Martins	2	933
2674	594500	Waltham	8	1050
2675	594600	Sydenham	8	1038
2676	594700	Addington	8	1059
2677	594800	Barrington North	7	1007
2678	594900	Barrington South	4	967
2679	595000	Spreydon	7	1018
2680	595100	Hoon Hay	3	950
2681	595200	Hoon Hay South	3	940
2682	595300	Hillmorton	8	1043
2683	595400	Somerfield	4	961
2684	595500	Beckenham	1	912
2685	595600	North Beach	6	1000
2686	595700	Rawhiti	8	1036
2687	595800	New Brighton	7	1019
2700	595900	South Brighton	4	967
2689	596000	Mt Pleasant	1	887
2702	596102	Moncks Bay	1	896
2691	596200	Sumner	1	908
2692	596400	Lyttelton	3	953
2694	596502	Diamond Harbour	2	917
2703	596503	Governors Bay	1	897
2695	596600	Port Levy	3	939
2696	596800	Akaroa	4	961
2715	596901	Akaroa Harbour	3	950
2716	596902	Banks Peninsula Eastern Bays	4	966
2698	597000	Chatham Islands	8	1060
2705	597101	Little River	3	946
